from,to,year,type,pps
OM,JS,2022,1,"1,8"
IT,OM,2022,2,"2,6"
PSG,MP,2022,1,"1,8"
CGA,PSG,2022,2,"2,6"
OL,PB,2022,1,"0,2"
LB,OL,2022,2,"1,4"
AJA,JMF,2022,1,"0,8"
MPA,AJA,2022,2,"0,5"
SB29,MDZ,2022,1,"0,4"
BGR,SB29,2022,2,"1,4"
SREI,OGA,2022,1,"0,6"
WS,SREI,2022,2,"1,8"
MHSC,OD,2022,1,"0,6"
RPI,MHSC,2022,2,1
AJA,MPA,2022,1,"0,5"
CP,AJA,2022,2,"0,8"
ET,BI,2022,1,"0,6"
CRO,ET,2022,2,0
ET,CRO,2022,1,0
PK,ET,2022,2,1
ASCO,GB,2022,1,0
ABO,ASCO,2022,2,0
SB29,BGR,2023,1,"0,8"
ERO,SB29,2023,2,"1,4"
OGCN,LFA,2023,1,"1,6"
DDI,OGCN,2023,2,"2,6"
RCS,JST,2023,1,"0,4"
MLS,RCS,2023,2,"1,4"
MHSC,RPI,2023,1,"0,6"
MDZ,MHSC,2023,2,"2,6"
RCS,MLS,2023,1,"1,2"
FA,RCS,2023,2,"1,6"
ASCO,ABO,2023,1,"0,4"
AD,ASCO,2023,2,"0,8"
FCNA,AK,2023,1,"0,4"
PAR,FCNA,2023,2,"0,8"
ASM,PCL,2023,1,"0,8"
AH,ASM,2023,2,"2,2"
OM,IT,2023,1,"0,6"
MAR,OM,2023,2,"1,8"
RCS,FA,2023,1,"1,6"
PV,RCS,2023,2,"1,4"
TOUFC,PMO,2023,1,"1,4"
CM,TOUFC,2023,2,"1,2"
PSG,CGA,2023,1,2
LEN,PSG,2023,2,"1,6"
OGCN,DDI,2023,1,2
FFA,OGCN,2023,2,"1,8"
FCGB,JLG,2021,1,"1,8"
VP,FCGB,2021,2,"0,4"
ASSE,JSA,2021,1,"0,6"
PDU,ASSE,2021,2,"1,2"
ASM,SN,2022,1,2
PHC,ASM,2022,2,"1,6"
ET,LBA,2022,1,"0,8"
BI,ET,2022,2,"0,8"
FCGB,JP,2022,1,"0,6"
DGU,FCGB,2022,2,"0,4"
OGCN,CGA,2022,1,"2,4"
LFA,OGCN,2022,2,1
FCL,CP,2022,1,"0,4"
RLB,FCL,2022,2,2
LOSC,JGO,2022,1,"1,4"
PF,LOSC,2022,2,"1,4"
FCME,FA,2022,1,"1,4"
LBO,FCME,2022,2,"1,6"
FCGB,PS,2020,1,"1,2"
JLG,FCGB,2020,2,"1,2"
FCME,VH,2020,1,"1,4"
FA,FCME,2020,2,"1,8"
DFCO,SJ,2020,1,"0,6"
DLI,DFCO,2020,2,"1,2"
OGCN,PV,2020,1,"1,4"
AUR,OGCN,2020,2,1
FCNA,CHG,2020,1,1
PCO,FCNA,2020,2,"0,5"
FCNA,PCO,2020,1,"0,5"
RDO,FCNA,2020,2,"0,6"
PSG,TT,2020,1,2
MP,PSG,2020,2,2
OM,AVB,2021,1,"0,8"
NL,OM,2021,2,"1,2"
NO,JEA,2021,1,"0,6"
PPL,NO,2021,2,2
FCNA,RDO,2021,1,"0,4"
AK,FCNA,2021,2,"1,6"
FCSR,JST,2021,1,"0,2"
PBI,FCSR,2021,2,0
FCSR,PBI,2021,1,0
BG,FCSR,2021,2,2
OM,NL,2021,1,"1,2"
JS,OM,2021,2,2
RCS,TLA,2021,1,1
JST,RCS,2021,2,"0,8"
MHSC,MDZ,2021,1,"1,4"
OD,MHSC,2021,2,"1,4"
OL,RG,2021,1,"1,8"
PB,OL,2021,2,"1,6"
OGCN,AUR,2021,1,"1,8"
CGA,OGCN,2021,2,"2,2"
ASCO,GB,2021,1,"0,6"
SMO,ASCO,2021,2,"2,2"
SREI,DGU,2021,1,"0,2"
OGA,SREI,2021,2,"1,2"
SB29,OD,2021,1,"0,8"
MDZ,SB29,2021,2,"0,6"
LOSC,CGA,2021,1,"2,6"
JGO,LOSC,2021,2,1
ASSE,GPR,2019,1,"0,8"
CPU,ASSE,2019,2,"2,6"
CHG,FCNA,2019,2,2
FCNA,VHA,2019,1,"1,6"
RG,OL,2019,2,2
OL,SY,2019,1,"0,4"
AK,TOUFC,2019,2,"0,6"
TOUFC,ACAS,2019,1,"0,4"
RMO,ASM,2020,2,"0,8"
ASM,LJ,2020,1,2
DZ,TOUFC,2020,2,"0,2"
TOUFC,AK,2020,1,0
NO,BB,2020,1,"1,2"
JEA,NO,2020,2,1
ASM,RMO,2020,1,"1,6"
NK,ASM,2020,2,2
AMI,CP,2019,1,"1,2"
LE,AMI,2019,2,"0,8"
DFCO,AK,2019,1,"1,2"
DLI,DFCO,2019,2,"1,2"
OL,BG,2019,1,"2,6"
SY,OL,2019,2,"1,6"
ASSE,JLG,2019,1,2
CPU,ASSE,2019,2,"2,6"
OM,RG,2019,1,"1,4"
AVB,OM,2019,2,2
FCGB,EBED,2019,1,"0,8"
PS,FCGB,2019,2,1
SREI,SDE,2019,1,"2,2"
OGA,SREI,2019,2,"1,2"
ASM,THE,2019,1,"0,4"
LJ,ASM,2019,2,"2,2"
FCSR,SLA,2018,1,1
JST,FCSR,2018,2,"2,4"
EAG,AK,2018,1,"0,6"
JGO,EAG,2018,2,"0,8"
ASM,LJ,2018,1,"0,4"
THE,ASM,2018,2,"0,8"
FCNA,MCAR,2018,1,1
VHA,FCNA,2018,2,2
FCGB,GPO,2018,1,"2,4"
EBED,FCGB,2018,2,"1,4"
FCME,FRHA,2018,1,"0,2"
FA,FCME,2018,2,"1,8"
TOUFC,MDE,2018,1,"0,8"
ACAS,TOUFC,2018,2,2
SMC,PG,2018,1,"0,4"
FM,SMC,2018,2,"1,2"
OGCN,LFA,2018,1,"1,4"
PV,OGCN,2018,2,"1,4"
PSG,UM,2018,1,"1,2"
TT,PSG,2018,2,3
FCNA,CR,2018,1,1
MCAR,FCNA,2018,2,1
FCGB,EBED,2018,1,"1,2"
GPO,FCGB,2018,2,2
TOUFC,PDU,2018,1,"0,2"
MDE,TOUFC,2018,2,"1,6"
FCGB,JGO,2018,1,"0,6"
EBED,FCGB,2018,2,"1,4"
LOSC,FDC,2018,1,"1,4"
CGA,LOSC,2018,2,"1,2"
ASSE,JSA,2018,1,"0,4"
JLG,ASSE,2018,2,"1,8"
SREN,CHG,2017,1,"1,8"
SLA,SREN,2017,2,2
ASSE,OGA,2017,1,"0,8"
JSA,ASSE,2017,2,"0,4"
LOSC,MBI,2017,1,"1,2"
