from,to,year,type,pps,effect
VP,FCGB,2021,2,"0,4",1
LFA,OGCN,2022,2,1,1
JGO,LOSC,2021,2,1,1
RMO,ASM,2020,2,"0,8",1
SY,OL,2019,2,"1,6",1
OGA,SREI,2019,2,"1,2",1
EBED,FCGB,2018,2,"1,4",1
PBA,MHSC,2015,2,0,1
CRO,ET,2022,2,0,2
PV,RCS,2023,2,"1,4",2
CM,TOUFC,2023,2,"1,2",2
LEN,PSG,2023,2,"1,6",2
FFA,OGCN,2023,2,"1,8",2
PHC,ASM,2022,2,"1,6",2
DGU,FCGB,2022,2,"0,4",2
AUR,OGCN,2020,2,1,2
PCO,FCNA,2020,2,"0,5",2
PBI,FCSR,2021,2,0,2
JST,RCS,2021,2,"0,8",2
PB,OL,2021,2,"1,6",2
MDZ,SB29,2021,2,"0,6",2
JEA,NO,2020,2,1,2
LE,AMI,2019,2,"0,8",2
AK,DFCO,2019,2,"0,8",2
CGA,LOSC,2018,2,"1,2",2
JSA,ASSE,2017,2,"0,4",2
RG,OM,2016,2,1,2
FHA,FCL,2016,2,"0,5",2
CR,FCNA,2017,2,"1,4",2
JSA,ASSE,2017,2,"0,4",2
MBI,LOSC,2017,2,1,2
MI,OM,2015,2,"1,6",2
RCO,SREN,2016,2,"1,4",2
UM,PSG,2016,2,2,2
HR,FCSM,2013,2,"0,6",2
JAN,OM,2013,2,"1,6",2
CMA,SB29,2013,2,0,2
FRA,ACA,2013,2,"0,6",2
UM,PSG,2013,2,2,2
LCH,SB29,2012,2,"1,2",2
PCOR,FCET,2012,2,1,2
ABO,ASCO,2022,2,0,3
BI,ET,2022,2,"0,8",3
PF,LOSC,2022,2,"1,4",3
JLG,FCGB,2020,2,"1,2",3
MP,PSG,2020,2,2,3
OD,MHSC,2021,2,"1,4",3
DLI,DFCO,2019,2,"1,2",3
PV,OGCN,2018,2,"1,4",3
MCAR,FCNA,2018,2,1,3
FDC,LOSC,2017,2,"1,2",3
RA,SCB,2017,2,"0,4",3
MBR,ET,2016,2,"0,6",3
RGI,FCNA,2016,2,"0,8",3
ADU,ACA,2012,2,"1,4",3
IT,OM,2022,2,"2,6",4
CGA,PSG,2022,2,"2,6",4
MPA,AJA,2022,2,"0,5",4
RPI,MHSC,2022,2,1,4
CP,AJA,2022,2,"0,8",4
PK,ET,2022,2,1,4
ERO,SB29,2023,2,"1,4",4
FA,RCS,2023,2,"1,6",4
AD,ASCO,2023,2,"0,8",4
PAR,FCNA,2023,2,"0,8",4
PDU,ASSE,2021,2,"1,2",4
LBO,FCME,2022,2,"1,6",4
FA,FCME,2020,2,"1,8",4
DLI,DFCO,2020,2,"1,2",4
RDO,FCNA,2020,2,"0,6",4
NL,OM,2021,2,"1,2",4
JS,OM,2021,2,2,4
CGA,OGCN,2021,2,"2,2",4
CHG,FCNA,2019,2,2,4
AK,TOUFC,2019,2,"0,6",4
DZ,TOUFC,2020,2,"0,2",4
NK,ASM,2020,2,2,4
DLI,DFCO,2019,2,"1,2",4
CPU,ASSE,2019,2,"2,6",4
AVB,OM,2019,2,2,4
PS,FCGB,2019,2,1,4
JGO,EAG,2018,2,"0,8",4
