from,to,year,type,pps,effect
LZ,ALA,2017,2,0,0.5
RK,FCBA,2020,2,"1,4",1
DG,RCD,2019,2,"0,8",1
MI,SDH,2019,2,"0,8",1
RU,RCD,2018,2,"1,4",1
PAY,UDLP,2017,2,0,1
MRO,FCM,2016,2,"0,2",1
TAD,GRFC,2017,2,0,1
ATR,RBE,2017,2,1,1
JCU,RCC,2017,2,"1,4",1
JC,CAO,2016,2,0,1
PJ,GRFC,2016,2,"0,4",1
GN,VCF,2015,2,"0,6",1
MD,VCF,2013,2,"1,2",1
SBE,FCE,2023,2,0,2
RB,RCC,2023,2,"0,8",2
VM,UDA,2023,2,"0,2",2
SBA,FCBA,2021,2,1,2
MI,GCF,2021,2,0,2
ALC,VCF,2019,2,"1,6",2
PMA,RCD,2019,2,"0,6",2
FRU,RCD,2020,2,0,2
LG,VICF,2018,2,"0,8",2
RU,RBE,2019,2,1,2
PMA,SEFC,2018,2,"1,4",2
MAP,CDL,2018,2,"0,2",2
JOG,FCM,2018,2,"0,4",2
VMO,SEFC,2017,2,"0,8",2
CPA,DLC,2017,2,"0,8",2
CPR,VCF,2016,2,1,2
JR,FCM,2016,2,1,2
QSF,RCD,2016,2,1,2
PAF,GCF,2015,2,"1,2",2
JLM,UDLE,2014,2,"0,8",2
JG,FCM,2014,2,"1,2",2
EBE,RCC,2014,2,"1,8",2
JCG,RBE,2013,2,"0,2",2
LAL,GRFC,2013,2,"1,2",2
LEN,RCC,2013,2,"1,2",2
JAR,RSO,2013,2,"1,2",2
MAP,VCF,2012,2,1,2
ACE,RSA,2012,2,"0,2",2
JC,RCDM,2011,2,"0,6",2
JPE,UDLE,2021,2,"0,4",3
LG,ALA,2022,2,"1,2",3
GG,VCF,2022,2,"1,2",3
CA,RM,2021,2,"2,6",3
MAR,ABI,2021,2,"1,4",3
AB,ALA,2021,2,"0,8",3
JG,VCF,2020,2,"1,4",3
PMA,ALA,2020,2,"0,8",3
CS,DLC,2018,2,"0,4",3
CZ,ABI,2017,2,"1,4",3
EV,FCBA,2017,2,3,3
GPO,RBE,2016,2,1,3
COG,RCD,2015,2,"0,8",3
RB,RM,2015,2,"2,6",3
VF,DLC,2014,2,"0,8",3
GMAR,FCBA,2013,2,3,3
JC,UDLE,2013,2,"1,2",3
LAL,GRFC,2012,2,"1,2",3
JS,SEFC,2022,2,1,4
JA,FCE,2022,2,"0,4",4
QS,VICF,2022,2,"1,8",4
PMA,FCE,2022,2,"0,4",4
PP,RVAD,2023,2,"1,4",4
LG,RCD,2023,2,"0,8",4
JLM,ALA,2021,2,"0,4",4
QSF,GCF,2021,2,1,4
SEMA,FCE,2021,2,"0,5",4
AL,UDLE,2021,2,"0,8",4
SE,CCF,2022,2,"1,2",4
RT,GRFC,2022,2,"0,8",4
JV,ALA,2022,2,"1,2",4
AKA,GRFC,2022,2,"1,6",4
LBL,RCD,2022,2,1,4
DMA,RCD,2022,2,"0,8",4
EV,ABI,2022,2,2,4
PBO,VCF,2021,2,2,4
PA,RVAD,2021,2,"0,8",4
RMO,GRFC,2021,2,"0,6",4
UM,VICF,2020,2,"1,6",4
JA,FCE,2020,2,2,4
PA,SDH,2021,2,"0,8",4
FE,FCE,2021,2,"1,2",4
VO,VCF,2021,2,"1,4",4
LC,CDL,2019,2,1,4
OGA,RCC,2019,2,1,4
JAG,CDL,2019,2,1,4
QS,FCBA,2020,2,"2,4",4
VO,VCF,2020,2,"1,4",4
LG,RCDM,2020,2,"1,6",4
FR,SDH,2018,2,"0,4",4
MCAR,RCC,2018,2,"1,4",4
JAC,VICF,2019,2,1,4
FE,RCC,2019,2,"1,4",4
ZIZI,RM,2019,2,2,4
AG,ALA,2019,2,1,4
JL,SEFC,2019,2,2,4
EU,GFC,2018,2,"1,6",4
EBE,ABI,2018,2,"1,2",4
AMO,RCC,2018,2,"1,6",4
AG,RSO,2018,2,"1,4",4
GDB,ALA,2017,2,"0,6",4
LAL,GRFC,2016,2,"0,6",4
VSA,RBE,2016,2,"1,4",4
VO,VCF,2016,2,"1,2",4
PVA,CAO,2017,2,"0,6",4
RU,SG,2017,2,"0,8",4
MI,FCM,2017,2,"1,4",4
MAR,VCF,2017,2,"1,8",4
GGA,DLC,2016,2,1,4
ZIZI,RM,2016,2,"2,6",4
VO,VCF,2015,2,"1,6",4
EU,RSO,2015,2,"1,4",4
RU,UDLE,2015,2,1,4
QS,UDLP,2015,2,1,4
JLM,SDEI,2015,2,"1,6",4
FE,GCF,2015,2,"0,6",4
VSA,DLC,2015,2,"0,6",4
SBA,UDA,2015,2,"1,2",4
JARO,FCCO,2015,2,"0,4",4
ARE,GRFC,2015,2,1,4
QSF,GCF,2015,2,"1,2",4
DM,RSO,2014,2,"1,2",4
MD,FCCO,2014,2,"0,6",4
LAL,UDLE,2014,2,"1,4",4
VO,VCF,2014,2,"1,6",4
SE,RCD,2014,2,1,4
LEN,FCBA,2014,2,"2,6",4
JC,GRFC,2014,2,"1,6",4
JG,CAO,2013,2,"1,2",4
NE,VCF,2013,2,"0,8",4
JAP,VCF,2013,2,"1,6",4
GCA,RBE,2014,2,"0,6",4
CCO,GCF,2014,2,"0,8",4
JAG,RCD,2012,2,"1,2",4
DP,DLC,2012,2,"0,8",4
JRO,FCBA,2013,2,"2,6",4
FV,DLC,2013,2,"0,8",4
ARE,RCC,2013,2,"0,8",4
TV,FCBA,2013,2,"2,6",4
JIM,RVAD,2013,2,"0,8",4
EV,ABI,2013,2,"1,8",4
CA,RM,2013,2,"2,6",4
BSCHU,FCM,2013,2,1,4
PJ,RV,2012,2,"1,4",4
JACL,SG,2012,2,1,4
JFM,VICF,2011,2,"1,6",4
MJI,SAR,2011,2,"0,4",4
CC,RCC,2022,2,"1,2",5
RBA,VCF,2023,2,"1,2",5
JLM,SEFC,2023,2,"2,6",5
PBO,GCF,2023,2,"1,4",5
FR,RV,2023,2,"1,8",5
FR,FCE,2021,2,"1,4",5
JAG,RCDM,2022,2,"1,2",5
JAC,ALA,2021,2,"1,6",5
AB,RCD,2019,2,"1,6",5
JMU,ALA,2020,2,1,5
MPE,RBE,2020,2,"1,8",5
GGA,AB,2018,2,"2,2",5
IA,RSO,2018,2,"2,2",5
JC,SEFC,2019,2,"2,4",5
PJ,RV,2019,2,1,5
JL,RM,2018,2,"2,6",5
IA,RSO,2018,2,2,5
PLO,UDLE,2018,2,2,5
PJ,UDLP,2017,2,"1,2",5
JAC,VICF,2017,2,"2,6",5
AB,ALA,2017,2,"1,8",5
PME,DLC,2017,2,"1,6",5
QS,RBE,2017,2,"1,8",5
MAMA,UDLP,2017,2,"1,2",5
FE,VICF,2016,2,"1,8",5
EBE,SEFC,2017,2,"2,6",5
JMU,UDLE,2016,2,"1,8",5
JS,SEFC,2016,2,"2,2",5
JE,GCF,2016,2,"1,6",5
PAY,VCF,2016,2,2,5
JOG,GRFC,2016,2,"1,6",5
JME,RBE,2016,2,"1,2",5
JRS,GRFC,2015,2,2,5
JIM,UDA,2014,2,"1,2",5
EV,VCF,2012,2,"2,4",5
UM,SEFC,2013,2,2,5
GMA,RCDM,2013,2,"1,4",5
TV,FCBA,2012,2,3,5
MALO,VICF,2012,2,"1,6",5
MI,SEFC,2012,2,"1,4",5
DSI,AM,2011,2,"2,2",5
JOG,RSA,2011,2,"2,2",5
ARE,GRFC,2011,2,"1,8",5
EC,RCC,2020,2,"2,4",6
SSO,RM,2018,2,"2,4",6
JC,SEFC,2018,2,"2,6",6
DG,RCD,2018,2,"2,6",6
VO,VCF,2016,2,2,6
