from,to,year,type,pps,effect
CSTE,TH,2023,2,1,1
FL,CFC,2022,2,"0,6",1
RDZ,BHA,2022,2,"0,4",1
QSF,FCW,2019,2,"0,2",1
HM,FCW,2020,2,0,1
SBR,NU,2019,2,"0,8",1
DM,AFCS,2016,2,"0,2",1
CPU,SOFC,2016,2,1,1
KM,BOFC,2014,2,1,1
RYM,TH,2023,2,"0,8",2
ASAD,LEC,2023,2,0,2
MSKU,LU,2023,2,"0,33",2
NJ,SOFC,2022,2,"0,6",2
SDA,WW,2022,2,"0,8",2
MMC,BOFC,2022,2,0,2
VK,FCBU,2022,2,"0,2",2
PV,BOFC,2021,2,1,2
BL,WW,2021,2,"0,6",2
HM,FCW,2019,2,"0,25",2
KDA,SOFC,2018,2,0,2
MHUD,HT,2019,2,0,2
MPE,WHU,2018,2,"0,6",2
MSI,EVFC,2018,2,"1,2",2
MHU,SOFC,2018,2,"0,8",2
DM,WHU,2017,2,"0,8",2
FDB,BOFC,2017,2,0,2
SA,BOFC,2016,2,"0,2",2
JM,MU,2016,2,"1,8",2
FGU,SWA,2016,2,1,2
STMC,NU,2015,2,"0,4",2
STMC,NU,2015,2,"0,4",2
MP,TH,2014,2,"1,4",2
LVG,MU,2014,2,1,2
NAD,NOR,2014,2,"0,2",2
PME,WBA,2014,2,"0,6",2
OGS,CAR,2014,2,"0,6",2
KB,AFCS,2013,2,0,2
MHU,STO,2013,2,"1,4",2
DM,MU,2013,2,"1,4",2
JM,CFC,2013,2,2,2
BK,MC,2013,2,"1,5",2
MP,SOFC,2013,2,1,2
BR,LFC,2012,2,"0,4",2
CH,NOR,2012,2,"0,6",2
AVB,TH,2012,2,"1,6",2
GM,SWA,2012,2,1,2
TC,WW,2012,2,"0,2",2
AI,AFC,2023,2,"0,6",3
MP,CFC,2023,2,1,3
DS,NOR,2021,2,1,3
NES,TH,2021,2,"1,8",3
SA,WBA,2020,2,"0,8",3
PH,SU,2021,2,"0,6",3
UM,ARFC,2018,2,"1,8",3
APAR,WBA,2017,2,"0,4",3
SAGN,FCMI,2017,2,"0,4",3
EBL,AV,2016,2,0,3
DM,WHU,2015,2,"0,8",3
MPE,MC,2013,2,2,3
DU,EVFC,2013,2,"1,4",3
SA,LU,2023,2,"0,25",4
DS,LEC,2023,2,1,4
RS,SOFC,2023,2,"1,4",4
RS,SOFC,2023,2,"1,4",4
ADA,AV,2022,2,"1,5",4
GP,CFC,2022,2,"2,2",4
GON,AFC,2022,2,"1,8",4
CR,FCW,2021,2,"1,2",4
GJ,NU,2021,2,"0,67",4
EHO,NU,2021,2,1,4
RR,MU,2021,2,2,4
FL,EVFC,2022,2,"0,6",4
RH,FCW,2022,2,"0,8",4
RB,EVFC,2021,2,2,4
RYM,TH,2021,2,"1,8",4
FLJ,ARFC,2019,2,1,4
DF,EVFC,2019,2,"1,25",4
MA,ARFC,2019,2,"1,2",4
DM,WHU,2019,2,"0,8",4
CR,FFC,2018,2,"0,8",4
RHA,SOFC,2018,2,"1,2",4
JSI,HT,2019,2,"0,6",4
GP,BHA,2019,2,1,4
FL,CFC,2019,2,"1,6",4
PL,STO,2018,2,"1,2",4
SA,EVFC,2017,2,"2,2",4
GME,WBA,2017,2,1,4
DU,EVFC,2017,2,"1,4",4
CPU,LEC,2017,2,"1,6",4
RH,BOFC,2017,2,"0,6",4
MAP,SOFC,2017,2,"1,6",4
ACU,SWA,2016,2,"1,5",4
BBR,SWA,2016,2,"0,4",4
MPH,HC,2016,2,"1,4",4
WM,FCW,2016,2,"1,4",4
AC,CFC,2016,2,2,4
DU,EVFC,2016,2,"1,4",4
RB,NU,2016,2,"0,8",4
GH,CFC,2015,2,"1,4",4
ACU,SWA,2015,2,1,4
RGA,AV,2015,2,"0,4",4
JKLO,LFC,2015,2,"1,6",4
SA,AFCS,2015,2,"1,2",4
CR,LEC,2015,2,"2,2",4
CRA,QPR,2015,2,"0,6",4
RKE,WBA,2015,2,"0,4",4
KM,BOFC,2014,2,"0,5",4
AIR,WBA,2014,2,1,4
RK,SOFC,2014,2,2,4
FMA,FFC,2014,2,"0,8",4
GM,SWA,2014,2,1,4
KM,BOFC,2013,2,"0,8",4
TP,BOFC,2013,2,"1,2",4
NADK,FCR,2013,2,"0,4",4
RB,CFC,2012,2,"1,6",4
HRE,QPR,2012,2,"1,2",4
PL,AV,2012,2,"0,8",4
SCL,WBA,2012,2,2,4
MHU,QPR,2012,2,"0,8",4
AP,TH,2023,2,"2,6",5
RH,BOFC,2023,2,2,5
JG,LU,2023,2,"1,4",5
SD,EVFC,2023,2,"1,2",5
MSKU,WW,2023,2,"1,4",5
UM,AV,2022,2,2,5
AC,TH,2021,2,"2,2",5
STGE,AV,2021,2,"1,8",5
MCA,MU,2021,2,2,5
JMA,LU,2022,2,"1,4",5
MJA,FCBU,2022,2,2,5
ETH,MU,2022,2,"1,8",5
MSI,FFC,2021,2,"1,6",5
TT,CFC,2021,2,"2,6",5
JM,TH,2019,2,"2,4",5
NP,FCW,2019,2,2,5
CA,EVFC,2019,2,2,5
MS,CFC,2018,2,3,5
OGS,MU,2018,2,3,5
BR,LEC,2019,2,"2,4",5
JG,FCW,2018,2,2,5
CC,SWA,2018,2,2,5
MSI,FCW,2017,2,"1,6",5
PCL,SWA,2017,2,"1,8",5
MSI,HC,2017,2,"1,4",5
RK,EVFC,2016,2,"2,6",5
PGU,MC,2016,2,3,5
DA,AFCS,2015,2,"1,4",5
TSH,AV,2015,2,"1,2",5
TP,WBA,2015,2,"1,6",5
APAR,BOFC,2015,2,2,5
NWA,BOFC,2014,2,"1,6",5
DK,WBA,2013,2,"1,2",5
AVB,TH,2013,2,"2,6",5
RME,FFC,2013,2,"1,2",5
GPO,AFCS,2013,2,"1,2",5
PDC,AFCS,2013,2,"1,4",5
RDM,CFC,2012,2,2,5
MON,AFCS,2011,2,2,5
DMO,WBA,2018,2,"2,2",6
CSH,LEC,2017,2,3,6
