from,to,year,type,pps,effect
LS,SP,2023,2,"1,2",1
ADI,USSA,2021,2,"0,8",1
MAA,JU,2021,2,1,1
RD,SAG,2021,2,1,1
FAL,PC,2020,2,"0,8",1
IJ,GCFC,2018,2,"0,4",1
MGI,ACMI,2019,2,"1,2",1
GST,FCCR,2018,2,"0,2",1
GG,SSCN,2018,2,"0,6",1
CB,USSA,2017,2,"0,8",1
GPG,AT,2016,2,"0,6",1
MARA,CCA,2014,2,"0,8",1
LUD,GCFC,2012,2,0,1
FAL,GCFC,2013,2,"0,8",1
TM,BFC,2022,2,"0,8",2
SBO,HV,2022,2,0,2
RG,SSCN,2023,2,"1,6",2
PZ,EMFC,2022,2,"0,8",2
DN,USS,2022,2,"0,6",2
ASH,GCFC,2021,2,"0,2",2
STCO,USS,2021,2,"0,6",2
EDF,HV,2021,2,0,2
TM,SP,2021,2,"0,8",2
CPR,ACF,2020,2,"0,4",2
MGI,FCT,2020,2,"0,2",2
RMA,GCFC,2020,2,1,2
MLO,FCT,2020,2,"0,8",2
ECO,BC,2019,2,0,2
LGO,UCA,2019,2,1,2
SPI,ACMI,2019,2,"0,8",2
CR,ASR,2019,2,"1,4",2
VMO,ACF,2019,2,"0,2",2
EDF,SAG,2019,2,"0,6",2
PF,ASR,2019,2,"2,2",2
RMA,CCA,2018,2,1,2
WZ,FCCR,2017,2,"0,6",2
GG,ACMI,2017,2,1,2
RDZ,PFC,2016,2,1,2
FPE,HV,2016,2,"0,4",2
GIMA,EMFC,2016,2,"0,8",2
DB,PFC,2016,2,"0,8",2
GT,PFC,2016,2,"0,67",2
GI,PFC,2016,2,"0,33",2
WN,PFC,2016,2,"0,25",2
VMO,SAG,2015,2,"0,8",2
PS,ACF,2014,2,"2,4",2
ROM,IM,2014,2,1,2
DDC,FCCE,2014,2,"0,2",2
RMA,CAFC,2013,2,"1,2",2
AMA,USSA,2014,2,0,2
DN,USLI,2014,2,0,2
ZZ,CCA,2014,2,"1,2",2
SPI,ASR,2014,2,"1,2",2
FI,ACMI,2014,2,"1,6",2
AAL,JU,2012,2,"2,4",2
GI,ACNS,2012,2,"0,6",2
GPG,PFC,2013,2,"0,5",2
CB,PC36,2013,2,0,2
GSA,CVE,2013,2,"0,8",2
GC,HV,2022,2,1,3
GC,UCA,2021,2,1,3
RD,PC,2021,2,"0,2",3
LDB,SPAL,2020,2,"0,6",3
GG,SSCN,2019,2,"0,6",3
RDZ,BEC,2017,2,0,3
EDF,ASR,2017,2,"2,4",3
GG,ACMI,2016,2,1,3
FACA,FCCA,2015,2,"0,8",3
MGI,EMFC,2014,2,"0,8",3
STCO,UCA,2014,2,"0,6",3
SM,ACMI,2014,2,"1,8",3
MAA,JU,2014,2,3,3
ZZ,CCA,2015,2,"0,2",3
AC,JU,2012,2,2,3
DR,SAG,2012,2,"1,4",3
VMO,ACF,2012,2,"1,6",3
MACA,JU,2012,2,"2,6",3
MBE,FCCE,2012,2,"0,2",3
SCO,USL,2011,2,"0,8",3
DR,ACF,2011,2,1,3
DST,SAG,2022,2,"0,8",4
DB,USC,2023,2,"0,4",4
PS,USS,2023,2,"1,2",4
MB,HV,2023,2,"1,4",4
ANSO,UCA,2022,2,2,4
LGO,SP,2022,2,1,4
AAG,CCA,2022,2,"0,67",4
MGI,SAG,2022,2,"1,2",4
ABL,GCFC,2022,2,1,4
WM,CCA,2021,2,1,4
SI,IM,2021,2,"2,6",4
IJ,FCT,2021,2,"1,4",4
MS,LR,2021,2,"1,6",4
VIT,ACF,2021,2,"1,8",4
LSP,SSCN,2021,2,3,4
GI,ACF,2021,2,1,4
SCO,FCCR,2021,2,"0,6",4
DN,FCT,2021,2,"1,4",4
EDF,CCA,2020,2,"1,4",4
API,JU,2020,2,"1,8",4
DL,BC,2020,2,"0,4",4
DN,GCFC,2019,2,1,4
TM,GCFC,2019,2,1,4
CR,SAG,2019,2,"1,2",4
GPV,CVE,2018,2,"0,25",4
DDC,CVE,2018,2,1,4
DN,UCA,2018,2,1,4
CPR,GCFC,2018,2,1,4
MB,FCAL,2018,2,1,4
SM,FCBO,2019,2,"0,8",4
AA,EMFC,2019,2,"1,4",4
IT,UCA,2019,2,"1,4",4
AA,GCFC,2019,2,1,4
RDZ,USSA,2018,2,2,4
FI,FCBO,2018,2,"0,8",4
JV,UCA,2018,2,"1,6",4
DB,GCFC,2017,2,"1,6",4
LUD,UCA,2016,2,"1,6",4
SPI,IM,2016,2,2,4
ECO,PFC,2016,2,"0,8",4
DL,PFC,2017,2,1,4
ZZ,PC36,2017,2,"0,6",4
ANMA,GCFC,2017,2,"0,8",4
IJ,GCFC,2017,2,"0,8",4
FI,LR,2016,2,"1,4",4
SPI,ACF,2017,2,"1,2",4
FDB,IM,2016,2,2,4
IJ,GCFC,2016,2,"1,6",4
MGI,SAG,2016,2,"1,2",4
GI,UCA,2016,2,"1,4",4
GBS,PFC,2016,2,"1,5",4
SI,LR,2016,2,"1,8",4
LSP,ASR,2016,2,2,4
LUD,HV,2015,2,"0,4",4
GSA,FCCA,2015,2,"0,8",4
