id,name,type,league
AC,Antonio Conte,1,2
ACR,Andrew Crofts,1,2
ACU,Alan Curtis,1,2
ADA,Aaron Danks,1,2
AFC,AFC Bournemouth,2,2
AFCS,AFC Sunderland,2,2
AIR,Alan Irvine,1,2
AML,Alex McLeish,1,2
AP,Ange Postecoglou,1,2
APAR,Alan Pardew,1,2
ARFC,Arsenal FC,2,2
ASAD,Adam Sadler,1,2
AV,Aston Villa,2,2
AW,Arsene Wenger,1,2
BBR,Bob Bradley,1,2
BHA,Brigthon & Hove Albion,2,2
BK,Brian Kidd,1,2
BL,Bruno Lage,1,2
BOFC,Crystal Palace,2,2
BR,Brendan Rodgers,1,2
CAR,Cardiff City,2,2
CH,Chris Hughton,1,2
CR,Claudio Ranieri,1,2
CRA,Chris Ramsey,1,2
CSH,Craig Shakespeare,1,2
CSTE,Christian Stellini,1,2
CW,Chris Wilder,1,2
DA,Dick Advocaat,1,2
DF,Duncan Ferguson,1,2
DK,David Kerslake,1,2
DMO,Darren Moore,1,2
DS,Dean Smith,1,2
DU,David Unsworth,1,2
EBL,Eric Black,1,2
ED,Eamonn Dolan,1,2
EHO,Eddie Howe,1,2
ETH,Erik ten Hag,1,2
EVFC,Everton FC,2,2
FCBU,FC Burnley,2,2
CFC,FC Chelsea,2,2
FCMI,FC Middlesbrough,2,2
FCR,FC Reading,2,2
FCW,FC Watford,2,2
FDB,Frank de Boer,1,2
FFC,Fulham FC,2,2
FGU,Francesco Guidolin,1,2
FL,Frank Lampard,1,2
FLJ,Freddie Ljungberg,1,2
GH,Guus Hiddink,1,2
GJ,Graeme Jones,1,2
GM,Garry Monk,1,2
GME,Gary Megson,1,2
GON,Gary O Neil,1,2
GP,Graham Potter,1,2
HC,Hull City,2,2
HM,Hayden Mullins,1,2
HRE,Harry Redknapp,1,2
HT,Huddersfield Town,2,2
IH,Ian Holloway,1,2
JCA,John Carver,1,2
KB,Kevin Ball,1,2
KD,Keith Downing,1,2
KDA,Kelvin Davis,1,2
KM,Keith Millen,1,2
LEC,Leicester City,2,2
LFC,Liverpool FC,2,2
LU,Leeds United,2,2
LVG,Louis van Gaal,1,2
MA,Mikel Arteta,1,2
MC,Manchester City,2,2
MCA,Michael Carrick,1,2
MHU,Mark Hughes,1,2
MHUD,Mark Hudson,1,2
MJ,Martin Joel,1,2
MJA,Mike Jackson,1,2
MMA,Malky Macky,1,2
MMC,Mick McCarthy,1,2
MON,Martin O'Neill,1,2
MPH,Mike Phelan,1,2
MSI,Marco Silva,1,2
MSKU,Michael Skubala,1,2
MST,Mike Stowell,1,2
MU,Manchester United,2,2
NAD,Neil Adams,1,2
NADK,Nigel Adkins,1,2
NJ,Nathan Jones,1,2
NOR,Norwich City,2,2
NP,Nigel Pearson,1,2
NU,Newcastle United,2,2
NWA,Neil Warnock,1,2
OGS,Ole Gunnar Solskjaer,1,2
PCL,Paul Clement,1,2
PDC,Paolo Di Canio,1,2
PH,Paul Heckingbottom,1,2
PL,Paul Lambert,1,2
PT,Paul Tait,1,2
QPR,Queens Park Rangers,2,2
RDZ,Roberto de Zerbi,1,2
RGA,Rémi Garde,1,2
RH,Roy Hodgson,1,2
RKE,Rob Kelly,1,2
RME,Rene Meulensteen,1,2
ROMA,Roberto Martinez,1,2
RS,Rubén Sélles,1,2
RYM,Ryan Mason,1,2
SA,Sam Allardyce,1,2
SAF,Sir Alex Ferguson,1,2
SAGN,Steve Agnew,1,2
SBR,Steve Bruce,1,2
SCL,Steve Clarke,1,2
SD,Sean Dyche,1,2
SDA,Steve Davis,1,2
SJO,Slavisa Jokanović,1,2
SKD,Sir Kenny Dalgish,1,2
SLB,Slaven Bilic,1,2
SMA,Scott Marshall,1,2
SOFC,Southampton FC,2,2
SPA,Scott Parker,1,2
STGE,Steven Gerrard,1,2
STMC,Steve McClaren,1,2
STO,Stoke City FC,2,2
SU,Sheffield United,2,2
SWA,Swansea City,2,2
TC,Terry Connor,1,2
TH,Tottenham Hotspur,2,2
TP,Tony Pulis,1,2
TSH,Tim Sherwood,1,2
VK,Vincent Kompany,1,2
WBA,West Bromwich Albion,2,2
WHU,Westham United,2,2
WW,Wolverhampton Wanderers,2,2
XM,Xisco Munoz,1,2
AI,Andoni Iraola,1,6
AKA,Aitor Karanka,1,6
CA,Carlo Ancelotti,1,6
CC,Carlos Carvalhal,1,6
CPU,Claude Puel,1,6
DFA,Daniel Farke,1,6
DM,David Moyes,1,6
FMA,Felix Magath,1,6
GPO,Gustavo Poyet,1,6
JG,Javi Gracia,1,6
JKLO,Jürgen Klopp,1,6
JM,Jose Mourinho,1,6
JMA,Jesse Marsch,1,6
JSI,Jan Siewert,1,6
MAP,Mauricio Pellegrino,1,6
ML,Michael Laudrup,1,6
MP,Mauricio Pochettino,1,6
MPE,Manuel Pellegrini,1,6
MS,Maurizio Sarri,1,6
NES,Nuno Espirito Santo,1,6
PGU,Pep Guardiola,1,6
PME,Pepe Mel,1,6
PV,Patrick Vieira,1,6
QSF,Quique Sánchez Flores,1,6
RB,Rafael Benítez,1,6
RDM,Roberto di Matteo,1,6
RHA,Ralph Hasenhüttl,1,6
TT,Thomas Tuchel,1,6
UM,Unai Emery,1,6
MBI,Marcelo Bielsa,1,6
DWA,David Wagner,1,6
ROM,Roberto Mancini,1,4
RR,Ralf Rangnick,1,6
RK,Ronald Koeman,1,6
WM,Walter Mazzarri,1,6
AVB,Andre Villas-Boas,1,6
